gene_id	CD-PTKO_18_27m_vs_CD-PTWT_18_27m	CD_PTWT_16m_vs_CD_PTWT_6m	CD_PTWT_6m_vs_WD_PTWT_6m	CD_PTWT_18_27m_vs_CD_PTWT_6m	CD_PTWT_18_27m_vs_WD_PTWT_18_27m	WD-PTKO_18_27m_vs_CD-PTWT_18_27m	WD_PTWT_16m_vs_WD_PTWT_6m	WD-PTWT_18_27m_vs_WD-PTKO_18_27m	CD_PTWT_16m_vs_WD_PTWT_16m	WD-PTWT_18_27m_vs_CD-PTWT_18_27m	WD_PTWT_18_27m_vs_WD_PTWT_6m	WD-PTKO_18_27m_vs_CD-PTKO_18_27m
-	1.38142	2.2498400000000003	-0.028286400000000003	3.01905	0.586719	0.282103	3.24622	0.29152100000000003	-1.03582	0.586719	3.5733	-1.0999299999999999
ENSMUSG00000076613	2.65428	2.44119	0.832656	2.71095	2.98643	2.80087	3.63026	0.173214	-0.366628	2.98643	6.52661	0.14616300000000002
ENSMUSG00000076617	1.83887	0.317821	-0.0229979	2.6798599999999997	3.48159	3.11128	2.0047099999999998	0.355111	-1.71869	3.48159	6.13469	1.27067
ENSMUSG00000095079	1.39605	2.0280099999999996	0.294648	2.78147	0.497064	-0.023749	3.26796	0.507042	-0.955924	0.497064	3.5691800000000002	-1.4210399999999999
ENSMUSG00000095612	5.65581	18.6372	0.0	17.7993	6.11838	4.212269999999999	19.4439	1.9034200000000001	-18.1495	6.11838	22.5162	-1.45974
ENSMUSG00000000078	0.549397	0.181445	-0.259914	0.729301	0.367014	1.49343	0.311227	-1.1361	-0.399445	0.367014	0.8327049999999999	0.947876
ENSMUSG00000000184	1.48389	-0.750058	0.275475	-0.23496	0.391942	0.6821520000000001	-0.0393779	-0.300712	-0.44537899999999997	0.391942	0.428674	-0.799217
ENSMUSG00000000204	1.7586400000000002	-0.500691	-0.42990500000000004	0.846035	1.24505	4.7229	-0.543971	-3.4826900000000003	-0.397204	1.24505	1.6566900000000002	2.96462
ENSMUSG00000000244	2.29419	-0.0550799	-0.334104	0.0586327	1.12485	1.5546799999999998	-0.215025	-0.440267	-0.184861	1.12485	0.845266	-0.739444
ENSMUSG00000000290	2.58909	-0.398771	-0.272513	0.663465	0.695517	1.5537	0.10868499999999999	-0.868334	-0.790233	0.695517	1.08265	-1.0316100000000001
ENSMUSG00000000318	0.930409	-1.9488	1.49216	-0.485152	0.863759	1.43877	0.345398	-0.584799	-0.811555	0.863759	1.86697	0.512726
ENSMUSG00000000359	0.15137799999999998	-1.2438	0.30709200000000003	-0.20553600000000002	-0.45072299999999993	-0.231223	-0.8680620000000001	-0.23023000000000002	-0.078377	-0.45072299999999993	-0.353017	-0.381635
ENSMUSG00000000386	1.7998299999999998	-0.407116	0.58792	0.355842	0.77625	1.32587	0.9542719999999999	-0.558972	-0.783712	0.77625	1.71512	-0.472742
ENSMUSG00000000555	1.0537299999999998	-0.150374	-0.166685	0.277739	0.0846216	1.2731700000000001	-0.180549	-1.19771	-0.146843	0.0846216	0.191814	0.223888
ENSMUSG00000000567	3.17322	0.136877	-0.443107	1.17109	0.9255700000000001	3.1901900000000003	0.5922109999999999	-2.27393	-0.9064639999999999	0.9255700000000001	1.6496	0.022559700000000002
ENSMUSG00000000628	2.0283700000000002	0.530406	-0.726716	1.49407	1.52332	3.13657	0.10049	-1.6225	-0.310174	1.52332	2.28618	1.1141
ENSMUSG00000000682	2.13049	-0.436399	0.0245847	0.79286	0.645439	1.47876	0.688016	-0.8436540000000001	-1.11022	0.645439	1.45902	-0.649547
ENSMUSG00000000957	1.0816	-0.447218	0.00298184	0.760097	0.256777	1.2094799999999999	-0.257502	-0.961899	-0.196762	0.256777	1.01569	0.128424
ENSMUSG00000001020	2.08488	0.23018400000000003	-0.0418904	0.730396	0.312676	1.2812	0.457971	-0.9772860000000001	-0.279449	0.312676	0.9972549999999999	-0.801888
ENSMUSG00000001025	0.948184	-0.114505	0.140737	0.767089	1.10033	1.84129	0.323482	-0.748043	-0.30603600000000003	1.10033	2.00388	0.891666
ENSMUSG00000001123	1.17782	-0.53322	0.049812300000000004	-0.0848135	0.163247	0.9632950000000001	-0.168434	-0.809158	-0.324867	0.163247	0.124324	-0.21286999999999998
ENSMUSG00000001128	3.4906300000000003	-0.145762	0.522493	-0.195731	0.5966520000000001	1.65267	0.06854249999999999	-1.0654299999999999	0.299131	0.5966520000000001	0.9197799999999999	-1.83057
ENSMUSG00000001155	-9.08959e-05	0.473734	0.15529500000000002	0.245573	-0.541251	-1.1833799999999999	0.5277890000000001	0.631743	0.0907546	-0.541251	-0.14424800000000002	-1.1840700000000002
ENSMUSG00000001227	0.997273	-0.24281	0.225507	0.105199	0.449924	2.1099099999999997	0.00672635	-1.66851	-0.0347452	0.449924	0.776941	1.1175700000000002
ENSMUSG00000001506	1.08	-1.04729	-0.42443400000000003	0.815878	-0.1203	0.569248	-0.475304	-0.699966	-1.00584	-0.1203	0.266988	-0.5134850000000001
ENSMUSG00000001507	0.127582	-0.0495031	-0.06254349999999999	-0.0372979	0.41592799999999996	1.2556200000000002	-0.0892965	-0.848159	-0.0328607	0.41592799999999996	0.31216	1.12991
ENSMUSG00000001642	-0.018586500000000002	-0.284478	0.12216400000000001	-0.501816	1.08699	0.326142	0.021959299999999998	0.749972	-0.194665	1.08699	0.703537	0.347595
ENSMUSG00000001656	-0.47808	0.809589	-0.412992	-0.406115	-0.0721188	-0.267717	-1.70586	0.185754	2.09291	-0.0721188	-0.89436	0.21037199999999998
ENSMUSG00000001930	1.40628	0.6103810000000001	-1.16101	0.74205	1.34881	2.75414	-1.07936	-1.4127399999999999	0.518667	1.34881	0.925846	1.34913
ENSMUSG00000001946	0.451268	-0.255166	0.173127	-0.191674	0.116469	1.04978	-0.214571	-0.941177	0.122807	0.116469	0.0940223	0.599089
ENSMUSG00000001986	0.31515	0.334082	-1.3783100000000001	0.585811	0.06967380000000001	0.157433	-0.206364	-0.09804249999999999	-0.8471040000000001	0.06967380000000001	-0.726267	-0.15770499999999998
ENSMUSG00000002076	-0.37411300000000003	-0.07227660000000001	0.918916	-0.461767	-1.14949	-1.41472	0.048744699999999995	0.254228	0.787748	-1.14949	-0.695896	-1.04158
ENSMUSG00000002107	0.8512149999999999	-0.00466938	-0.0106136	0.777522	0.39018600000000003	0.737101	0.230929	-0.357062	-0.256992	0.39018600000000003	1.15317	-0.112525
ENSMUSG00000002111	2.00107	-0.0199087	0.08651339999999999	0.731498	0.362255	1.32645	0.35583200000000004	-0.973576	-0.299478	0.362255	1.1765	-0.672046
ENSMUSG00000002289	0.151292	0.777465	-0.64774	0.780433	0.440517	1.01357	-0.284736	-0.5836279999999999	0.404348	0.440517	0.570024	0.871648
ENSMUSG00000002602	1.43392	-0.395005	-0.30086	0.42718199999999995	0.249835	1.19746	-0.10316700000000001	-0.9568709999999999	-0.602578	0.249835	0.372161	-0.23471199999999998
ENSMUSG00000002603	1.22953	-0.45123500000000005	0.131705	0.0125829	-0.08627860000000001	1.15696	-0.07997699999999999	-1.25304	-0.24953499999999998	-0.08627860000000001	0.053990300000000005	-0.06885269999999999
ENSMUSG00000002699	2.78464	-0.28772800000000004	-0.00743326	0.22515300000000002	0.812095	1.7269400000000001	-0.0152216	-0.925639	-0.291243	0.812095	1.02614	-1.0533700000000001
ENSMUSG00000002980	0.291616	0.0511814	0.025904000000000003	0.0623605	0.600874	1.3516299999999999	0.027814799999999997	-0.758698	0.0389375	0.600874	0.685137	1.0601
ENSMUSG00000002983	0.673624	-0.190492	0.07487719999999999	0.307676	0.304398	1.5667	-0.00834454	-1.27098	-0.117744	0.304398	0.682769	0.894641
ENSMUSG00000002985	1.56826	0.475221	-0.898797	1.0542200000000002	0.947667	1.90457	0.0667069	-0.966376	-0.499612	0.947667	1.09914	0.339491
ENSMUSG00000002997	0.031500799999999995	-0.8621530000000001	0.892551	-0.431753	1.17351	0.407437	-0.6787989999999999	0.756552	0.698566	1.17351	1.63024	0.374465
ENSMUSG00000003032	0.540694	-0.13204100000000002	-0.193267	0.18043	0.374102	1.14405	-0.246477	-0.779356	-0.0884673	0.374102	0.357765	0.605507
ENSMUSG00000003153	0.717841	-0.24305100000000002	-0.388581	0.635832	0.11119200000000001	2.73634	-0.577184	-2.63203	-0.0647783	0.11119200000000001	0.354311	2.02038
ENSMUSG00000003283	2.7732200000000002	-0.598488	0.192948	0.293257	0.994411	1.69625	0.387726	-0.711813	-0.802846	0.994411	1.47701	-1.07331
ENSMUSG00000003379	1.4698200000000001	0.24233600000000002	-0.59211	1.06971	1.97147	1.73597	0.813354	0.220771	-1.1735200000000001	1.97147	2.4453400000000003	0.26344
ENSMUSG00000003477	-0.6081489999999999	0.10518599999999999	-0.033413599999999995	-0.312162	-1.04793	-2.3289	0.276621	1.26916	-0.21553699999999998	-1.04793	-1.3972	-1.7232
